symbol,clock,stat,design_ic,confirm_median,percentile_of_design
1000LUNCUSDT,H1,rv20,0.15425420371191836,0.21798256645566097,14.553990610328638
1000LUNCUSDT,H1,ridge,0.2013555060403022,0.26267127947370134,14.553990610328638
ADAUSDT,H1,rv20,0.21310362186106266,0.28166243133129903,0.0
ADAUSDT,H1,ridge,0.2677870562761974,0.3267667825191265,0.0
AVAXUSDT,H1,rv20,0.2058360063204603,0.21504684314861597,23.157894736842106
AVAXUSDT,H1,ridge,0.2540693149331211,0.2624192394143413,35.26315789473684
BNBUSDT,H1,rv20,0.28434436606032043,0.31535738628442356,45.876288659793815
BNBUSDT,H1,ridge,0.3303549273603149,0.3344787799289022,47.93814432989691
BTCUSDT,H1,rv20,0.35186988389670737,0.2813481731381505,100.0
BTCUSDT,H1,ridge,0.414454935580622,0.35239623821358745,100.0
DOGEUSDT,H1,rv20,0.19441367270478616,0.2711505513953659,0.0
DOGEUSDT,H1,ridge,0.24361783609041934,0.3201208663097292,0.0
DYDXUSDT,H1,rv20,0.1769714714927523,0.1845624565775365,41.584158415841586
DYDXUSDT,H1,ridge,0.1785785539155977,0.23783112619814864,0.0
ETHUSDT,H1,rv20,0.23277204945174362,0.20830522597051093,76.43979057591623
ETHUSDT,H1,ridge,0.30956671733423213,0.27745589228865136,74.86910994764398
GALAUSDT,H1,rv20,0.26449147199771555,0.2462577769792137,67.5257731958763
GALAUSDT,H1,ridge,0.29488558604382664,0.2782199168726983,67.0103092783505
INJUSDT,H1,rv20,0.13970555702603982,0.18580099561476782,25.0
INJUSDT,H1,ridge,0.15972128049945533,0.23198182280193994,1.4423076923076923
LINKUSDT,H1,rv20,0.1824397076847783,0.24013626728379184,2.631578947368421
LINKUSDT,H1,ridge,0.2531865696730747,0.29373472452636074,22.105263157894736
OPUSDT,H1,rv20,0.28829144164429227,0.22881633276752533,95.83333333333334
OPUSDT,H1,ridge,0.3248697859179248,0.28377368420344307,94.27083333333334
SOLUSDT,H1,rv20,0.2543787824906721,0.26748332847795003,32.98429319371728
SOLUSDT,H1,ridge,0.2829042611097796,0.3030037735106707,12.56544502617801
XRPUSDT,H1,rv20,0.2658923339330007,0.3216886641205943,1.5706806282722512
XRPUSDT,H1,ridge,0.2958913044697159,0.3445351672262549,3.1413612565445024
1000LUNCUSDT,H4,rv20,0.03157971223207701,0.22688593565530957,6.748466257668712
1000LUNCUSDT,H4,ridge,0.09682831216061581,0.1391791417289965,28.834355828220858
ADAUSDT,H4,rv20,0.19946455005836514,0.2523515881083105,16.315789473684212
ADAUSDT,H4,ridge,0.2178143469113028,0.29176736832936834,15.789473684210526
AVAXUSDT,H4,rv20,0.09859685344518249,0.20028086010941076,0.0
AVAXUSDT,H4,ridge,0.17346143820479665,0.19800755121644312,19.576719576719576
BNBUSDT,H4,rv20,0.21996041756214874,0.24378124106228458,40.41450777202073
BNBUSDT,H4,ridge,0.25901776205388555,0.3013222809946608,30.05181347150259
BTCUSDT,H4,rv20,0.2401964356829792,0.12736347505951437,100.0
BTCUSDT,H4,ridge,0.30583978048426186,0.27489678532682943,71.72774869109948
DOGEUSDT,H4,rv20,0.16041672941261206,0.2549090677769877,2.0
DOGEUSDT,H4,ridge,0.20160665260698754,0.2830501419384336,5.5
DYDXUSDT,H4,rv20,0.04945797864597228,0.17515221811312776,0.0
DYDXUSDT,H4,ridge,-0.005724786043657569,0.18904747889159645,0.0
ETHUSDT,H4,rv20,0.17124350828415683,0.19008339028240953,28.79581151832461
ETHUSDT,H4,ridge,0.19794547844322344,0.25108171679500596,16.230366492146597
GALAUSDT,H4,rv20,0.2370072994411443,0.1607144511443057,75.63451776649747
GALAUSDT,H4,ridge,0.2505453139462952,0.20554422154677968,74.11167512690355
INJUSDT,H4,rv20,0.017648781893420326,0.144836751368362,0.0
INJUSDT,H4,ridge,-0.004244981923762071,0.14166869578171376,0.0
LINKUSDT,H4,rv20,0.14522454307939386,0.19637857290601873,21.578947368421055
LINKUSDT,H4,ridge,0.1610969752879444,0.24861872958657733,0.5263157894736842
OPUSDT,H4,rv20,0.21867252690193328,0.14950033257940934,85.34031413612566
OPUSDT,H4,ridge,0.2481401951184307,0.21505745311605776,71.20418848167539
SOLUSDT,H4,rv20,0.20904828663450759,0.21129496006716875,47.89473684210526
SOLUSDT,H4,ridge,0.2607904422761929,0.26465343411180453,45.78947368421053
XRPUSDT,H4,rv20,0.13061716610505214,0.1941017443212917,2.6178010471204187
XRPUSDT,H4,ridge,0.1719764611669524,0.24479783855396145,0.5235602094240838
1000LUNCUSDT,D1,rv20,-0.05491049830672472,-0.08313342876686597,56.557377049180324
1000LUNCUSDT,D1,ridge,0.03386550556361877,0.20646071707381786,31.967213114754102
ADAUSDT,D1,rv20,-0.03156462585034013,0.06464440321583179,2.1505376344086025
ADAUSDT,D1,ridge,0.19860235003092144,0.18995052566481138,54.3010752688172
AVAXUSDT,D1,rv20,0.05163242554546903,0.1084567606306737,21.428571428571427
AVAXUSDT,D1,ridge,0.08991877687529862,0.16016881669055583,15.384615384615385
BNBUSDT,D1,rv20,-0.1908190819081908,0.09469561292827466,0.0
BNBUSDT,D1,ridge,0.17156915691569155,0.199045904590459,32.53012048192771
BTCUSDT,D1,rv20,0.13435061153174138,0.02512521840419336,96.29629629629629
BTCUSDT,D1,ridge,0.24926033779848572,0.25525917297612116,43.386243386243386
DOGEUSDT,D1,rv20,-0.0002707437490046186,0.058727504379678296,24.489795918367346
DOGEUSDT,D1,ridge,0.105303392259914,0.3181716833890747,0.0
DYDXUSDT,D1,rv20,0.1743444055944056,0.07727272727272727,82.58706467661692
DYDXUSDT,D1,ridge,-0.14488636363636365,0.2562937062937063,0.0
ETHUSDT,D1,rv20,0.028608037274315667,0.0600873616773442,39.361702127659576
ETHUSDT,D1,ridge,0.15984857309260336,0.2460512521840419,13.297872340425531
GALAUSDT,D1,rv20,0.1501786104833418,-0.024549828679740468,85.0
GALAUSDT,D1,ridge,0.09141940657578186,0.2211124881533863,28.000000000000004
LINKUSDT,D1,rv20,-0.05011826661311197,0.05767977022311768,1.5957446808510638
LINKUSDT,D1,ridge,0.026515948459983802,0.1418753068237604,4.787234042553192
OPUSDT,D1,rv20,0.12392837764514379,0.004869777536625068,90.67357512953367
OPUSDT,D1,ridge,0.09309549647314162,0.08122626153011395,61.13989637305699
SOLUSDT,D1,rv20,0.15304601048340127,0.07798485730926034,88.35978835978835
SOLUSDT,D1,ridge,0.07715783343040186,0.07857891671520094,48.67724867724868
XRPUSDT,D1,rv20,-0.06755406975587687,-0.0366919044845661,26.984126984126984
XRPUSDT,D1,ridge,0.11788619069994857,0.1190215492137449,48.67724867724868
