symbol,clock,band,n,ic_absr_1bar,ic_park_1bar,ic_gk_1bar,ic_rv20_cc20,ic_park20,ic_gk20,ic_absr20,ic_ewma
BTCUSDT,H1,DESIGN,4054,0.26745706446146106,0.3980377820110764,0.3942479085272373,0.36265379089150906,0.38429817346582545,0.38204797647665306,0.37707857990085225,0.37743571793261665
BTCUSDT,H1,CONFIRM,7005,0.2513404456314848,0.37187743389230393,0.36835475187498723,0.3036095688888837,0.3202607398888558,0.31839773613842354,0.3127439501393959,0.3065440898036328
BTCUSDT,H4,DESIGN,1012,0.24359273239221932,0.3280858001411131,0.3225702688748811,0.29658369020358516,0.3144734834608651,0.310995876229454,0.30545455151548795,0.3389930080786027
BTCUSDT,H4,CONFIRM,1749,0.22929573392800368,0.3130959982550156,0.30779375540050813,0.1745754669319282,0.2051352302344737,0.20619208093302513,0.1979136836545282,0.2241396144548858
BTCUSDT,D1,DESIGN,167,0.24010327022375216,0.24266698960083277,0.22007018664907707,0.12950003607243346,0.09203478235117737,0.08530856565372387,0.10490973098835037,0.11048728704381257
BTCUSDT,D1,CONFIRM,289,0.20781479934773098,0.2758720120908404,0.25795549457105355,0.10299437219106711,0.0970222118578063,0.09512613341746799,0.11345773680785134,0.1831906494849461
ETHUSDT,H1,DESIGN,4054,0.21468798762769573,0.34464641350370745,0.3451433903533071,0.31088651587130717,0.32655336464696394,0.3237809977217595,0.32123870211108785,0.3333779142194058
ETHUSDT,H1,CONFIRM,7000,0.20665152459118658,0.3277609482953066,0.3290426532230711,0.2615939978339058,0.28743768090509497,0.2869056059454351,0.27399019180828255,0.27310725956772436
ETHUSDT,H4,DESIGN,1012,0.20211170820440066,0.2810871694179665,0.26851245986273353,0.2675065074124844,0.27573844648323287,0.27350850649863606,0.27243289530921827,0.2778491183169807
ETHUSDT,H4,CONFIRM,1748,0.1801673193896472,0.273237357390057,0.26836738579629804,0.22940375310881392,0.27612597616020185,0.27820299228878487,0.26155298112630027,0.2595681978785995
ETHUSDT,D1,DESIGN,167,0.22258495058076622,0.16773681552557534,0.15461933276304535,0.08035134550176756,0.10050455879794327,0.11547844241995728,0.05934396250791266,0.0740773186844899
ETHUSDT,D1,CONFIRM,288,0.20480832218109626,0.27137512106707823,0.2604755675584438,0.1642478368678892,0.1767772044363067,0.1701936414581368,0.16878618062105827,0.2010853839383673
SOLUSDT,H1,DESIGN,4070,0.23197365041939516,0.3370558564322598,0.3355700201189735,0.30821911226818943,0.3240763519530122,0.3229978602803889,0.30748334731717125,0.33168615199968104
