symbol,clock,band,n,frac_high_markov,frac_high_hmm,agreement,markov_high_rv20pct,hmm_high_rv20pct,markov_high_absrpct,hmm_high_absrpct,markov_high_parkpct,hmm_high_parkpct,auc_rv20_for_markov,auc_rv20_for_hmm,auc_absr_for_markov,auc_absr_for_hmm,mean_runlen_markov_high,mean_runlen_markov_low,mean_runlen_hmm_high,mean_runlen_hmm_low,gap_markov,gap_hmm,medgap_markov,medgap_hmm,mean_y,ic_markov_state,ic_hmm_state,y_HH,y_HL,y_LH,y_LL,n_HH,n_HL,n_LH,n_LL
BTCUSDT,H1,DESIGN,2433,0.48746403616933826,0.12618166872174272,0.562268803945746,0.6545583527231318,0.7557056809799031,0.554431790536115,0.9146547673078236,0.5624497060860054,0.8881503110729104,0.8011551501005448,0.7923950714130311,0.6057999569962852,0.9742968244872694,19.129032258064516,19.793650793650794,1.9554140127388535,13.54140127388535,5.9050579477945995,22.327893182213653,3.273949934473606,13.953858188052726,24.97466454313521,0.10877659638929896,0.20187803145050198,43.840973865468385,24.513865696617515,45.96756959671717,20.172382146127227,214,972,93,1154
BTCUSDT,H1,CONFIRM,7005,0.49564596716630976,0.1480371163454675,0.5852962169878658,0.6856883414414325,0.7445880026458579,0.5666556064299035,0.909636249627453,0.5896684437054508,0.8822403339122007,0.8680291060846972,0.7870038469393823,0.6320188290522147,0.9807308861662716,21.042424242424243,21.283132530120483,1.9566037735849056,11.239171374764595,8.244351304128745,20.92351213269037,6.05977310295436,15.312631126461751,26.500225054214177,0.15623520511911443,0.21520807342140483,44.608450452273225,26.468026035014127,43.36330175896222,20.921192788115025,802,2670,235,3298
BTCUSDT,H4,DESIGN,608,0.4457236842105263,0.16447368421052633,0.6365131578947368,0.673795882695669,0.7248190789473683,0.5538757525733151,0.8767105263157896,0.5732454117304331,0.8548108552631578,0.8120709100266077,0.7680905511811024,0.595716491289542,0.9498818897637795,13.55,16.047619047619047,1.8867924528301887,9.407407407407407,11.375036811364204,33.7716917935649,2.9635849495790474,14.824709941569921,49.51266205222902,0.06986101257771006,0.1529617878709932,84.1251710445479,44.98558747534359,58.54368396429196,43.3126392792933,75,196,25,312
BTCUSDT,H4,CONFIRM,1749,0.4894225271583762,0.1783876500857633,0.5951972555746141,0.6730267763154378,0.6942501942501942,0.5668426016468691,0.8944616704050667,0.5867685406347019,0.8641384820630105,0.8383245596592396,0.7360776546580304,0.6303557785894444,0.9797588458861946,14.758620689655173,15.135593220338983,1.8571428571428572,8.553571428571429,13.772949107330867,33.00083000370691,8.097557925269566,18.734745798625333,54.225403242475664,0.11305079744893232,0.16512626419348878,86.51328426528534,51.97830136791378,66.82687745168461,45.52892020064384,230,626,82,811
BTCUSDT,D1,DESIGN,101,0.5841584158415841,0.0594059405940594,0.4752475247524752,0.7093472059070313,0.6749174917491749,0.5635173686860211,0.9603960396039604,0.6120154388320189,0.962046204620462,0.9915254237288136,0.6807017543859649,0.6408393866020985,0.9842105263157894,14.75,14.0,1.5,19.0,27.61083023256242,14.17122065795104,54.77432075162935,-32.98318045679261,150.57749307311116,0.16881303212101742,0.012929913477618467,NaN,161.8500582779043,NaN,134.4483942243866,6,53,0,42
BTCUSDT,D1,CONFIRM,289,0.4532871972318339,0.06920415224913495,0.5882352941176471,0.7252436672917932,0.6986159169550173,0.5452072162497689,0.9633217993079587,0.5694286695369662,0.9446366782006923,0.9088317711856218,0.7115241635687732,0.579524591747995,0.995910780669145,13.1,15.8,1.4285714285714286,17.933333333333334,5.48674663195149,118.07415526393612,18.444596564521902,96.68091078785301,150.537148147426,0.037409123254027864,0.16390989624511038,242.29878416170868,141.18733249699994,NaN,143.24604510113866,16,115,4,154
ETHUSDT,H1,DESIGN,2433,0.4763666255651459,0.0998766954377312,0.5832305795314426,0.6859102639256669,0.7594004928799649,0.5446515360585167,0.9038089100654749,0.5612792112479862,0.8931174404070235,0.8546465244357516,0.78795497679313,0.5848800527710919,0.9483867936937445,19.64406779661017,21.593220338983052,1.8549618320610688,16.717557251908396,5.624138048028016,17.651680822812818,3.956631031206136,14.527772531545686,32.79815451389579,0.06903161503862314,0.14694698742634152,48.72181952376334,33.13395576527185,48.548368422053116,29.381828227371777,194,965,49,1225
ETHUSDT,H1,CONFIRM,7000,0.49457142857142855,0.09557142857142857,0.5652857142857143,0.6755916893620534,0.7831499039077515,0.5545068498803334,0.9342758915225283,0.5717687959065776,0.9165082212257101,0.847270159845781,0.812991522248343,0.6077015119169966,0.9800870700770333,19.34078212290503,19.76536312849162,1.9005681818181819,17.93484419263456,6.5099498657037635,24.824458908852783,4.061186287125931,20.200750554744133,28.88215369286662,0.10272550567966374,0.19052739065751687,51.2927663910599,28.60788914437671,51.514003134846526,24.715716383880075,544,2918,125,3413
ETHUSDT,H4,DESIGN,608,0.4243421052631579,0.16447368421052633,0.6217105263157895,0.6656594247246022,0.6782730263157895,0.5408952978376173,0.890279605263158,0.5414562933496532,0.8558881578947368,0.7863455149501661,0.7123818897637795,0.5696124031007752,0.9661220472440945,13.578947368421053,17.5,1.5384615384615385,7.696969696969697,3.3760102075082443,13.996234757713935,0.7669033024576564,22.142838008923917,68.4310208722282,0.025653200670495497,0.10697971580704957,83.65178462284649,65.99429544725818,73.85583659901044,66.21223898127425,64,194,36,314
ETHUSDT,H4,CONFIRM,1748,0.4673913043478261,0.14244851258581237,0.6006864988558352,0.6808109425284782,0.7026021706965161,0.5591590599082987,0.9252708775605856,0.578278655235289,0.8919131905195151,0.8389447127172714,0.7359230115927352,0.6105370963691796,0.9955793822387616,15.415094339622641,17.566037735849058,1.456140350877193,8.76608187134503,11.96933603587906,29.837756195831957,9.568940708413184,22.60930999822497,59.70716218702,0.09221058787056301,0.1460843742560225,90.94359302635466,58.85542319869816,69.30350626494283,52.972618468896634,184,633,65,866
ETHUSDT,D1,DESIGN,101,0.5247524752475248,0.07920792079207921,0.5148514851485149,0.6936297403325237,0.7141089108910892,0.5458621333831496,0.8762376237623761,0.5787408929572203,0.8217821782178218,0.8970125786163522,0.7271505376344086,0.5860849056603774,0.9032258064516129,10.6,12.0,1.3333333333333333,13.285714285714286,-13.688501259746175,-43.80215365987192,7.4785312009273355,25.714790266588864,204.45632700514372,0.004760252871348967,-0.011317397733626779,NaN,198.6112186606893,NaN,217.44288138182677,6,47,2,46
