symbol,clock,status,slots,complete,frac_complete,origins,design,confirm,boundary_dropped,contig_design,contig_confirm
DYDXUSDT,H4,OK,3126,2429,0.7770313499680103,2210,603,1605,2,0.7429519071310116,0.8940809968847352
DYDXUSDT,D1,OK,521,437,0.8387715930902111,375,108,265,2,0.7407407407407407,0.8490566037735849
GALAUSDT,H1,OK,12504,11526,0.9217850287907869,10179,3350,6827,2,0.8414925373134329,0.9660172843122894
GALAUSDT,H4,OK,3126,2898,0.927063339731286,2557,840,1715,2,0.8321428571428572,0.9731778425655977
GALAUSDT,D1,OK,521,495,0.9500959692898272,433,145,286,2,0.8275862068965517,0.9790209790209791
OPUSDT,H1,OK,12504,12355,0.9880838131797824,10917,3929,6986,2,0.9536777806057521,0.9948468365302032
OPUSDT,H4,OK,3126,3094,0.9897632757517595,2732,984,1746,2,0.9491869918699187,0.9965635738831615
OPUSDT,D1,OK,521,512,0.982725527831094,450,160,288,2,0.91875,0.9930555555555556
1000RATSUSDT,H1,NO_DESIGN_HISTORY,615,606,0.9853658536585366,0,0,0,0,,
1000RATSUSDT,H4,NO_DESIGN_HISTORY,154,148,0.961038961038961,0,0,0,0,,
1000RATSUSDT,D1,NO_DESIGN_HISTORY,26,22,0.8461538461538461,0,0,0,0,,
