symbol,clock,band,n,ic_pooled,ic_within_month,n_wm,ic_within_day,n_wd,ic_within_hod
MATICUSDT,H1,CONFIRM,6961,0.33821993783192367,0.25144506252030746,6961,0.024418190346962375,6961,0.33532890530136017
MATICUSDT,H4,DESIGN,1968,0.3547475260613576,0.15283347989565063,1968,-0.12014196983141084,1932,NaN
MATICUSDT,H4,CONFIRM,1739,0.29819517253508715,0.18275415808649154,1739,-0.12333502796136248,1686,NaN
MATICUSDT,D1,DESIGN,327,0.25695351351518414,0.07285858206201529,327,NaN,0,NaN
MATICUSDT,D1,CONFIRM,283,0.19631903139761808,0.027635662786095052,269,NaN,0,NaN
INJUSDT,H1,DESIGN,1212,0.15972128049945533,0.16347039784119302,1212,-0.00046769004958552074,968,0.15550252739950018
INJUSDT,H1,CONFIRM,6931,0.3561750449817207,0.20349564840049805,6931,0.018467745858461938,6917,0.3558066552549883
INJUSDT,H4,DESIGN,293,-0.004244981923762071,-0.02291278847319002,293,-0.09783549783549782,198,NaN
INJUSDT,H4,CONFIRM,1733,0.35678189099491914,0.10795346313682318,1733,-0.1259412068076328,1662,NaN
INJUSDT,D1,DESIGN,41,0.04407665505226482,0.15470383275261326,41,NaN,0,NaN
INJUSDT,D1,CONFIRM,286,-0.2164503019445253,0.01312069590431316,272,NaN,0,NaN
BNBUSDT,H1,DESIGN,2328,0.3303549273603149,0.2989106318843185,2328,0.0727720124079483,2314,0.32612446353483904
BNBUSDT,H1,CONFIRM,6453,0.3263345546615591,0.24161510988008914,6453,0.015166945874785193,6348,0.3246816614718469
BNBUSDT,H4,DESIGN,587,0.25901776205388555,0.2189592483836981,587,-0.06914930530360378,546,NaN
BNBUSDT,H4,CONFIRM,1634,0.31418681983603547,0.197512980891007,1634,-0.08835657866431632,1284,NaN
BNBUSDT,D1,DESIGN,100,0.17156915691569155,0.17289246298433056,88,NaN,0,NaN
BNBUSDT,D1,CONFIRM,265,0.17160402236424574,0.09328833769228609,252,NaN,0,NaN
DYDXUSDT,H1,DESIGN,1480,0.1785785539155977,0.17094248918949329,1480,0.015920216673773423,1165,0.1836805975219139
DYDXUSDT,H1,CONFIRM,6351,0.32701469704373554,0.21533806186709148,6351,0.04083333761584949,6185,0.32513647917735466
DYDXUSDT,H4,DESIGN,362,-0.005724786043657569,0.000890180411631374,350,-0.10061638802455664,228,NaN
DYDXUSDT,H4,CONFIRM,1605,0.30120170308997246,0.1338483017686405,1605,-0.22628798890806173,1224,NaN
DYDXUSDT,D1,DESIGN,65,-0.14488636363636365,-0.14069055944055942,65,NaN,0,NaN
DYDXUSDT,D1,CONFIRM,265,0.3152245966545868,0.26907391947785836,251,NaN,0,NaN
GALAUSDT,H1,DESIGN,2010,0.29488558604382664,0.20824251329364246,2010,0.031605133945695627,1837,0.2962047752400328
GALAUSDT,H1,CONFIRM,6827,0.3257246142810153,0.2524876670112384,6827,0.00694300498014403,6806,0.32701508540137847
GALAUSDT,H4,DESIGN,504,0.2505453139462952,0.15083298786950466,504,-0.14285714285714288,396,NaN
GALAUSDT,H4,CONFIRM,1715,0.2885175484915379,0.1752282305877263,1715,-0.19718159387678852,1602,NaN
GALAUSDT,D1,DESIGN,87,0.09141940657578186,-0.0609827572059875,80,NaN,0,NaN
GALAUSDT,D1,CONFIRM,286,0.2864875817379026,0.15801244880961576,272,NaN,0,NaN
OPUSDT,H1,DESIGN,2358,0.3248697859179248,0.24498405091782158,2358,0.030020239443673023,2341,0.31806625521899495
OPUSDT,H1,CONFIRM,6986,0.3231050615441644,0.2592227802121629,6986,0.03288761522652685,6986,0.31831944887575825
OPUSDT,H4,DESIGN,591,0.2481401951184307,0.1023218832128256,591,-0.12126984126984129,540,NaN
OPUSDT,H4,CONFIRM,1746,0.2883169846694158,0.16671269140760397,1746,-0.09841269841269842,1728,NaN
OPUSDT,D1,DESIGN,96,0.09309549647314162,0.028122038346577234,87,NaN,0,NaN
OPUSDT,D1,CONFIRM,288,0.13502294748602456,0.0424199456457521,274,NaN,0,NaN
