key,point,n_grid,env_low,env_high,min_low,max_low,min_high,max_high,sign_low_agree,sign_high_agree,n_cells_low_gt0,low_b1,low_b3,low_b7,arm,symbol,clock,band,metric,model,target
V-LEVEL|DYDXUSDT|D1|CONFIRM|oos_ic|ols|target_abs_oo,0.3159790557010022,15,0.18559037941091605,0.43473022493595603,0.18559037941091605,0.20682172784868275,0.42071309046194827,0.43473022493595603,true,true,15,0.20312078797131192,0.20044693790776288,0.18559037941091605,V-LEVEL,DYDXUSDT,D1,CONFIRM,oos_ic,ols,target_abs_oo
V-LEVEL|DYDXUSDT|D1|CONFIRM|dmae_vs_uncond|ols|target_abs_oo,42.78898866924782,15,27.12093708425298,57.84048751042078,27.12093708425298,30.26911822795082,54.54834173761993,57.84048751042078,true,true,15,30.00384495842824,29.47791424119009,27.12093708425298,V-LEVEL,DYDXUSDT,D1,CONFIRM,dmae_vs_uncond,ols,target_abs_oo
V-LEVEL|DYDXUSDT|D1|CONFIRM|oos_ic|ewma|target_abs_oo,0.23902810198738692,15,0.08840173237661829,0.3684112461990663,0.08840173237661829,0.12434976643321496,0.34770386372265094,0.3684112461990663,true,true,15,0.11935034721195506,0.10667648000933098,0.08840173237661829,V-LEVEL,DYDXUSDT,D1,CONFIRM,oos_ic,ewma,target_abs_oo
V-LEVEL|DYDXUSDT|D1|CONFIRM|oos_ic|ridge|rv_next,0.9775319516630339,15,0.9592599799950372,0.9881731531911888,0.9592599799950372,0.9647074675695673,0.9869355117388864,0.9881731531911888,true,true,15,0.9644833825652324,0.9624749499867262,0.9592599799950372,V-LEVEL,DYDXUSDT,D1,CONFIRM,oos_ic,ridge,rv_next
V-LEVEL|DYDXUSDT|D1|CONFIRM|dmae_vs_uncond|ridge|rv_next,0.0323871024930637,15,0.026816087628264727,0.03766583204659312,0.026816087628264727,0.03026794712628084,0.03447290523685496,0.03766583204659312,true,true,15,0.030183473506810724,0.02869445007742027,0.026816087628264727,V-LEVEL,DYDXUSDT,D1,CONFIRM,dmae_vs_uncond,ridge,rv_next
V-LEVEL|DYDXUSDT|D1|CONFIRM|oos_ic|ols|rv_next,0.9779046673286994,15,0.9593944320716088,0.9886315617474691,0.9593944320716088,0.96435808860363,0.9879003273392208,0.9886315617474691,true,true,15,0.9640964080283501,0.9622540103739,0.9593944320716088,V-LEVEL,DYDXUSDT,D1,CONFIRM,oos_ic,ols,rv_next
V-LEVEL|DYDXUSDT|D1|CONFIRM|dmae_vs_uncond|ols|rv_next,0.03251165144346599,15,0.026937987232405876,0.03779876802323799,0.026937987232405876,0.03039075543429884,0.034594016640583015,0.03779876802323799,true,true,15,0.03030939367460924,0.028827348531014284,0.026937987232405876,V-LEVEL,DYDXUSDT,D1,CONFIRM,dmae_vs_uncond,ols,rv_next
V-LEVEL|DYDXUSDT|D1|CONFIRM|oos_ic|ewma|rv_next,0.9273507525245358,15,0.8725454706386221,0.9612668052160183,0.8725454706386221,0.9069411627368874,0.9443307039514613,0.9612668052160183,true,true,15,0.9060496412883965,0.8920081511043741,0.8725454706386221,V-LEVEL,DYDXUSDT,D1,CONFIRM,oos_ic,ewma,rv_next
V-REGIME|DYDXUSDT|D1|CONFIRM|gap_high_low_bps||,59.02987719488101,15,-66.80253786054955,194.26292358233667,-66.80253786054955,-30.18184261057083,157.03365756869778,194.26292358233667,true,true,0,-32.574472688214705,-44.85165909839547,-66.80253786054955,V-REGIME,DYDXUSDT,D1,CONFIRM,gap_high_low_bps,"",""
V-REGIME|DYDXUSDT|D1|CONFIRM|ic_state_vs_target||,0.07941067329676954,15,-0.08202926099018962,0.23435531609556826,-0.08202926099018962,-0.0423871046919839,0.1999360210998672,0.23435531609556826,true,true,0,-0.04758048275274544,-0.059903010168819035,-0.08202926099018962,V-REGIME,DYDXUSDT,D1,CONFIRM,ic_state_vs_target,"",""
