symbol,clock,band,n_obs,live,shuf_p50,shuf_p95,shuf_sd,shuf_outside_c90,shuf_p,blk_p50,blk_p95,blk_retention,blk_p,blk_above_p95,unr_p50,unr_sd,layer,z_live
BTCUSDT,H1,DESIGN,2433,0.41445493558062196,-0.014784505752372435,0.24100501735112045,0.11582329915519418,true,0.004975124378109453,0.08164491745594818,0.11271680770068998,0.19699347370919698,0.0004997501249375312,true,-0.000799502243054129,0.020084552096227566,COLLAPSED_AS_EXPECTED,20.675314830728656
BTCUSDT,H1,CONFIRM,7005,0.36549243640517437,-0.010319622197167498,0.12211590393918537,0.08011570224187271,true,0.004975124378109453,0.10298772425381428,0.12066884284452248,0.2817779904469625,0.0004997501249375312,true,-0.00026819615732922794,0.011886628766741087,COLLAPSED_AS_EXPECTED,30.7707626560952
BTCUSDT,H4,DESIGN,608,0.3058397804842619,-0.004702612032478452,0.2707856033802342,0.13222939258574293,true,0.04975124378109453,0.08329605275416863,0.14072049144052334,0.2723519243385506,0.0004997501249375312,true,-0.0019819439730424464,0.03962320319299255,COLLAPSED_AS_EXPECTED,7.7687238701525105
BTCUSDT,H4,CONFIRM,1749,0.3035540779759077,-0.011037140917025203,0.16356512801131762,0.08763309071600373,true,0.004975124378109453,0.12211869370644898,0.15410289856941553,0.4022963371822704,0.0004997501249375312,true,0.00010459925636299713,0.023401854771031735,COLLAPSED_AS_EXPECTED,12.966898636392417
BTCUSDT,D1,DESIGN,101,0.24926033779848575,-0.027955736750145604,0.24527140361094896,0.14951601314493906,true,0.05472636815920398,0.03710541642399534,0.1795008736167734,0.14886209635964295,0.0079960019990005,true,-0.0026383226557949915,0.09920819584450283,LIVE_INSIDE_DESTROYED_NULL,2.5390912344490393
BTCUSDT,D1,CONFIRM,289,0.23799616195362527,-0.02471040647496321,0.14404754802529532,0.08723079032119375,true,0.004975124378109453,0.06320049317901602,0.15148341486696096,0.2655525730340599,0.001999000499750125,true,-0.001952829813466969,0.05992818150247359,COLLAPSED_AS_EXPECTED,4.0039424816718014
ETHUSDT,H1,DESIGN,2433,0.30956671733423213,-0.0206274681273857,0.16712603798309303,0.06975289156065091,true,0.004975124378109453,0.04382853503748338,0.07529790240782187,0.14158025583274414,0.0004997501249375312,true,-0.00015525596618696255,0.019637218490673243,COLLAPSED_AS_EXPECTED,15.772191639438269
ETHUSDT,H1,CONFIRM,7000,0.3257064098645748,-0.017601731432749963,0.13839189315967626,0.09114376710469928,true,0.004975124378109453,0.1255220700222304,0.14216726547722291,0.3853840950640828,0.0004997501249375312,true,0.0010199519863740966,0.011999375027796876,COLLAPSED_AS_EXPECTED,27.05861406332044
ETHUSDT,H4,DESIGN,608,0.1979454784432234,-0.01623599190302693,0.16298585365588653,0.08177884922680098,true,0.029850746268656716,0.04225722111641862,0.10784253613002535,0.21347909257012526,0.0009995002498750624,true,-0.001054894856424193,0.041561416457177376,COLLAPSED_AS_EXPECTED,4.788103733295201
ETHUSDT,H4,CONFIRM,1748,0.2924116975902062,-0.015496788200675501,0.20231245659971636,0.11287970089832122,true,0.004975124378109453,0.15793192300282224,0.18663379288883908,0.5401012486995387,0.0004997501249375312,true,0.0015639284597941806,0.023786855994455597,COLLAPSED_AS_EXPECTED,12.227247232597902
ETHUSDT,D1,DESIGN,101,0.1598485730926034,-0.0004251601630751311,0.13467676179382645,0.114030030017375,true,0.03980099502487562,0.05794991263832265,0.21184915550378564,0.36253005902499447,0.14742628685657172,false,-0.0015026208503203262,0.10121658608731218,LIVE_INSIDE_DESTROYED_NULL,1.5941181201639993
ETHUSDT,D1,CONFIRM,288,0.2727179106936892,0.0009542195644398362,0.11760596634636632,0.0817715972035176,true,0.004975124378109453,0.12342035092372672,0.21182458636252202,0.4525568218449347,0.0014992503748125937,true,-0.0002371106261729943,0.058806248721660064,COLLAPSED_AS_EXPECTED,4.641598932994427
SOLUSDT,H1,DESIGN,2442,0.2829042611097796,-0.005412579760921165,0.12630722107367867,0.06464046787569049,true,0.009950248756218905,0.09403900057200595,0.12264475787686344,0.3324057410910279,0.0004997501249375312,true,-0.0001173019073931248,0.021120996275449562,COLLAPSED_AS_EXPECTED,13.400010081254967
SOLUSDT,H1,CONFIRM,7005,0.34302902572556476,-0.004682097546416139,0.14811849318324113,0.06716812347408709,true,0.004975124378109453,0.142475403601189,0.1584182260969455,0.4153450376388099,0.0004997501249375312,true,-0.00008987024034243042,0.011450955127503217,COLLAPSED_AS_EXPECTED,29.96421627238717
SOLUSDT,H4,DESIGN,611,0.26079044227619286,-0.001433939961879406,0.1575402888405399,0.08485705302202028,true,0.01990049751243781,0.10150565668955754,0.1577941290681766,0.38922307046075294,0.0004997501249375312,true,-0.00003076317181989554,0.03910199758299029,COLLAPSED_AS_EXPECTED,6.670278286791984
SOLUSDT,H4,CONFIRM,1749,0.3086404230660135,-0.00033312754291003205,0.179081320548162,0.07851077124599082,true,0.004975124378109453,0.15203421385794375,0.1843075739583168,0.49259333028268276,0.0004997501249375312,true,-0.00006431564066437075,0.023978907826882,COLLAPSED_AS_EXPECTED,12.874011649546388
